country	color	variety	taster_name
US	rouge	pinot noir	NTN
US	rouge	merlot	NTN
US	rouge	pinot noir	Virginie Boone
US	rouge	petit verdot	Virginie Boone
US	blanc	sauvignon blanc	Virginie Boone
US	rouge	cabernet franc	NTN
US	rouge	cabernet sauvignon	Sean P. Sullivan
US	rouge	cabernet sauvignon	NTN
US	rouge	syrah	Matt Kettmann
US	blanc	chardonnay	NTN
US	rouge	merlot	NTN
US	rouge	pinot noir	NTN
US	rouge	pinot noir	Virginie Boone
US	rouge	rhône-style red blend	Matt Kettmann
US	rouge	tempranillo	Jim Gordon
US	rouge	cabernet sauvignon	NTN
US	blanc	chardonnay	Jim Gordon
US	blanc	white blend	Virginie Boone
US	rouge	red blend	Paul Gregutt
US	rouge	syrah	NTN
US	rouge	red blend	Paul Gregutt
US	rouge	rhône-style red blend	Jim Gordon
US	blanc	white blend	NTN
US	blanc	sauvignon blanc	Sean P. Sullivan
US	blanc	rhône-style white blend	NTN
US	rouge	tempranillo	Jim Gordon
US	rouge	grenache	Sean P. Sullivan
US	blanc	chardonnay	Sean P. Sullivan
US	rouge	syrah	Matt Kettmann
US	rouge	cabernet sauvignon	Virginie Boone
US	rouge	red blends	Sean P. Sullivan
US	rouge	cabernet sauvignon	Virginie Boone
US	blanc	chardonnay	Virginie Boone
US	blanc	chardonnay	Jim Gordon
US	rouge	cabernet sauvignon	NTN
US	blanc	rhône-style white blend	Virginie Boone
US	blanc	roussanne	Matt Kettmann
US	rouge	cabernet sauvignon	Virginie Boone
US	rouge	cabernet sauvignon	Sean P. Sullivan
US	blanc	viognier	NTN
US	blanc	chardonnay	NTN
US	blanc	chardonnay	Virginie Boone
US	rouge	red blends	Matt Kettmann
US	blanc	sauvignon blanc	NTN
US	rouge	nero d'avola	Jim Gordon
US	rouge	malbec	Jim Gordon
US	blanc	fiano	Jim Gordon
US	rouge	cabernet sauvignon	NTN
US	rouge	zinfandel	NTN
US	rouge	cabernet sauvignon	NTN
US	rouge	bordeaux-style red blend	Sean P. Sullivan
US	rouge	zinfandel	NTN
US	rouge	primitivo	Matt Kettmann
US	rouge	merlot	Virginie Boone
US	rosé	rosé	Paul Gregutt
US	rouge	syrah	Sean P. Sullivan
US	blanc	chardonnay	Paul Gregutt
US	blanc	riesling	Paul Gregutt
US	rouge	syrah	NTN
US	rouge	petit verdot	Sean P. Sullivan
US	blanc	riesling	Alexander Peartree
US	rouge	cabernet sauvignon	Virginie Boone
US	rouge	bordeaux-style red blend	NTN
US	rouge	syrah	Paul Gregutt
US	rouge	cabernet sauvignon	Virginie Boone
US	blanc	sauvignon blanc	Jim Gordon
US	rouge	pinot noir	Matt Kettmann
US	rouge	pinot noir	Jim Gordon
US	rouge	pinot noir	Paul Gregutt
US	rouge	pinot noir	Paul Gregutt
US	rouge	syrah	Jim Gordon
US	rouge	zinfandel	Virginie Boone
US	rouge	mourvèdre	Sean P. Sullivan
US	blanc	sauvignon blanc	Matt Kettmann
US	rouge	cabernet sauvignon	Virginie Boone
US	rouge	zinfandel	NTN
US	rouge	red blends	Matt Kettmann
US	rouge	pinot noir	NTN
US	rouge	merlot	NTN
US	blanc	riesling	Anna Lee C. Iijima
US	rouge	red blend	Virginie Boone
US	rouge	cabernet sauvignon	Matt Kettmann
US	blanc	riesling	Alexander Peartree
US	rouge	syrah	Virginie Boone
US	blanc	chardonnay	Sean P. Sullivan
US	rouge	cabernet sauvignon	Virginie Boone
US	rouge	zinfandel	NTN
US	rouge	pinot noir	Alexander Peartree
US	blanc	viognier	Sean P. Sullivan
US	rouge	cabernet sauvignon	NTN
US	rouge	pinot noir	Virginie Boone
US	rouge	cabernet sauvignon	Matt Kettmann
US	rouge	merlot	NTN
US	blanc	pinot gris	Paul Gregutt
US	blanc	sauvignon blanc	NTN
US	blanc	white blend	NTN
US	blanc	chardonnay	NTN
US	rouge	syrah	Paul Gregutt
US	rouge	cabernet franc	NTN
US	blanc	riesling	Anna Lee C. Iijima
US	rouge	cabernet sauvignon	Jim Gordon
US	rouge	cabernet sauvignon	Jim Gordon
US	blanc	chardonnay	Matt Kettmann
US	rouge	zinfandel	Jim Gordon
US	rouge	zinfandel	Jim Gordon
US	blanc	chardonnay	NTN
US	rouge	zinfandel	Jim Gordon
US	rouge	pinot noir	Virginie Boone
US	blanc	riesling	Susan Kostrzewa
US	rosé	rosé	Matt Kettmann
US	rouge	cabernet sauvignon	Virginie Boone
US	rouge	pinot noir	Jim Gordon
US	rouge	bordeaux-style red blend	Sean P. Sullivan
US	rouge	cabernet sauvignon	NTN
US	rouge	pinot noir	Paul Gregutt
US	rouge	zinfandel	Matt Kettmann
US	rouge	pinot noir	Virginie Boone
US	blanc	chardonnay	Matt Kettmann
US	rouge	cabernet sauvignon	NTN
US	blanc	chardonnay	Virginie Boone
US	rosé	rosé	Anna Lee C. Iijima
US	blanc	pinot gris	Paul Gregutt
US	rouge	pinot noir	NTN
US	rouge	pinot noir	Paul Gregutt
US	rouge	syrah	Matt Kettmann
US	rouge	pinot noir	Matt Kettmann
US	blanc	chardonnay	Virginie Boone
US	blanc	sauvignon blanc	Jim Gordon
US	blanc	sparkling blend	Anna Lee C. Iijima
US	blanc	chardonnay	Matt Kettmann
US	rouge	cabernet sauvignon	Virginie Boone
US	rouge	red blend	NTN
US	blanc	riesling	Sean P. Sullivan
US	blanc	viognier	Sean P. Sullivan
US	blanc	riesling	Sean P. Sullivan
US	blanc	chardonnay	Jim Gordon
US	rouge	syrah	Matt Kettmann
US	blanc	riesling	Alexander Peartree
US	rouge	bordeaux-style red blend	Sean P. Sullivan
US	rouge	bordeaux-style red blend	NTN
US	rouge	cabernet sauvignon	Paul Gregutt
US	rouge	pinot noir	Paul Gregutt
US	rouge	red blends	Jim Gordon
US	blanc	riesling	Sean P. Sullivan
US	rouge	grenache	Matt Kettmann
US	rouge	zinfandel	Virginie Boone
US	rouge	pinot noir	Paul Gregutt
US	rouge	pinot noir	Paul Gregutt
US	rouge	cabernet sauvignon	Sean P. Sullivan
US	rouge	syrah	Sean P. Sullivan
US	rouge	zinfandel	Virginie Boone
US	blanc	roussanne	NTN
US	rouge	cabernet sauvignon	Matt Kettmann
US	blanc	sauvignon blanc	Virginie Boone
US	rouge	merlot	Virginie Boone
