country	color	variety	taster_name
US	blanc	Chardonnay	Paul Gregutt
US	rouge	Petite Sirah	Virginie Boone
US	rouge	Bordeaux-style Red Blend	Paul Gregutt
US	rouge	Pinot Noir	Virginie Boone
US	blanc	White Blend	NTN
US	rouge	Pinot Noir	Paul Gregutt
US	rouge	Pinot Noir	NTN
US	rouge	Syrah	NTN
US	rouge	Syrah	Matt Kettmann
US	rosé	Rosé	Sean P. Sullivan
US	rouge	Meritage	Anna Lee C. Iijima
US	blanc	Grenache Blanc	NTN
US	rouge	Merlot	Sean P. Sullivan
US	blanc	Chardonnay	NTN
US	rouge	Mourvèdre	Sean P. Sullivan
US	rouge	Bordeaux-style Red Blend	Jim Gordon
US	rouge	Pinot Noir	Matt Kettmann
US	rouge	Cabernet Sauvignon	NTN
US	rouge	Syrah	Sean P. Sullivan
US	rouge	Pinot Noir	Jim Gordon
US	rouge	Bordeaux-style Red Blend	Matt Kettmann
US	rouge	Syrah	NTN
US	rouge	Cabernet Sauvignon	Matt Kettmann
US	blanc	Riesling	Anna Lee C. Iijima
US	rouge	Barbera	Matt Kettmann
US	rouge	Pinot Noir	Virginie Boone
US	rouge	Red Blends	Matt Kettmann
US	blanc	Sparkling Blend	Virginie Boone
US	rouge	Gamay Noir	Matt Kettmann
US	rouge	Syrah	Matt Kettmann
US	rouge	Rhône-style Red Blend	Matt Kettmann
US	blanc	Riesling	Paul Gregutt
US	rouge	Syrah	Sean P. Sullivan
US	blanc	Sparkling Blend	Sean P. Sullivan
US	rouge	Malbec	Jim Gordon
US	rouge	Cabernet Franc	Anna Lee C. Iijima
US	blanc	Chardonnay	Virginie Boone
US	rouge	Zinfandel	NTN
US	rosé	Rosé	Sean P. Sullivan
US	rouge	Mourvèdre	Jim Gordon
US	rouge	Pinot Noir	Matt Kettmann
US	rosé	Rosé	Jim Gordon
US	blanc	Chardonnay-Albariño	NTN
US	rosé	Rosé	Jim Gordon
US	rouge	Tempranillo	Sean P. Sullivan
US	rouge	Cabernet Sauvignon	NTN
US	rouge	Syrah	Matt Kettmann
US	rouge	Pinot Noir	Virginie Boone
US	rouge	Cabernet Sauvignon	Virginie Boone
US	rouge	Malbec	Jim Gordon
US	rouge	Red Blend	NTN
US	rouge	Cabernet Sauvignon	Sean P. Sullivan
US	rouge	Pinot Noir	Jim Gordon
US	rouge	Petit Verdot	Sean P. Sullivan
US	rouge	Pinot Noir	Matt Kettmann
US	blanc	Riesling	Anna Lee C. Iijima
US	blanc	Pinot Gris	Paul Gregutt
US	rouge	Bordeaux-style Red Blend	Paul Gregutt
US	rouge	Cabernet Sauvignon	Virginie Boone
US	rouge	Pinot Noir	NTN
US	blanc	Rhône-style White Blend	Paul Gregutt
US	rouge	Cabernet Sauvignon	Sean P. Sullivan
US	rouge	Malbec	Paul Gregutt
US	rouge	Pinot Noir	Paul Gregutt
US	rouge	Pinot Noir	Jim Gordon
US	rouge	Syrah-Cabernet Sauvignon	Matt Kettmann
US	rouge	Cabernet Sauvignon	NTN
US	blanc	Chardonnay	NTN
US	blanc	Sauvignon Blanc	Virginie Boone
US	rouge	Pinot Noir	Virginie Boone
US	rouge	Pinot Noir	NTN
US	rouge	Rhône-style Red Blend	Matt Kettmann
US	blanc	Sauvignon Blanc	Virginie Boone
US	blanc	Riesling	NTN
US	blanc	Chardonnay	Matt Kettmann
US	rouge	Red Blend	NTN
US	rouge	Syrah	NTN
US	rouge	Cabernet Sauvignon	Virginie Boone
US	rouge	Zinfandel	NTN
US	blanc	Grüner Veltliner	Sean P. Sullivan
US	rouge	Pinot Noir	Matt Kettmann
US	rouge	Zinfandel	Virginie Boone
US	rouge	Cabernet Sauvignon	Sean P. Sullivan
US	rouge	Cabernet Sauvignon	NTN
US	rouge	Malbec	Virginie Boone
US	rouge	Tempranillo	NTN
US	rouge	Trousseau Gris	Virginie Boone
US	rouge	Merlot	Matt Kettmann
US	rouge	Pinot Noir	Virginie Boone
US	blanc	Sauvignon Blanc	Virginie Boone
US	rouge	Pinot Noir	Matt Kettmann
US	rouge	Cabernet Sauvignon	Jim Gordon
US	rouge	Cabernet Sauvignon	Virginie Boone
US	rouge	Red Blend	NTN
US	rouge	Pinot Noir	Virginie Boone
US	rouge	Pinot Noir	Paul Gregutt
US	rouge	Cabernet Sauvignon	Virginie Boone
US	blanc	White Blend	Paul Gregutt
US	rouge	Pinot Noir	Paul Gregutt
US	blanc	Pinot Gris	Matt Kettmann
US	blanc	Sémillon	Jim Gordon
US	rouge	Syrah	Sean P. Sullivan
US	blanc	Riesling	Virginie Boone
US	rouge	Bordeaux-style Red Blend	Virginie Boone
US	rouge	Cabernet Sauvignon	Virginie Boone
US	rosé	Rosé	Virginie Boone
US	rouge	Cabernet Sauvignon	Jim Gordon
US	rouge	Rhône-style Red Blend	Matt Kettmann
US	rouge	Bordeaux-style Red Blend	Sean P. Sullivan
US	rouge	Pinot Noir	Paul Gregutt
US	rouge	Red Blend	Jim Gordon
US	rouge	Pinot Noir	Paul Gregutt
US	rouge	Syrah	Paul Gregutt
US	rouge	Bordeaux-style Red Blend	Anna Lee C. Iijima
US	rouge	Bordeaux-style Red Blend	NTN
US	rouge	Pinot Noir	Virginie Boone
US	rouge	Cabernet Sauvignon	Virginie Boone
US	rouge	Pinot Noir	Virginie Boone
US	rouge	Cabernet Sauvignon	NTN
US	rouge	Tempranillo	Matt Kettmann
US	rouge	Pinot Noir	Paul Gregutt
US	blanc	Chardonnay	Paul Gregutt
US	rouge	Cabernet Sauvignon	Virginie Boone
US	rouge	Cabernet Sauvignon	Virginie Boone
US	blanc	Chardonnay	NTN
US	rouge	Merlot	Jim Gordon
US	rouge	Cabernet Sauvignon	Sean P. Sullivan
US	blanc	Chardonnay	Paul Gregutt
US	blanc	Chardonnay	Virginie Boone
US	blanc	Sémillon	Virginie Boone
US	rouge	Pinot Noir	Paul Gregutt
US	blanc	Pinot Blanc	Paul Gregutt
US	rouge	Merlot	Alexander Peartree
US	rouge	Pinot Noir	Matt Kettmann
US	blanc	Chardonnay	Matt Kettmann
US	blanc	Falanghina	Matt Kettmann
US	rouge	Pinot Noir	NTN
US	blanc	Chardonnay	Virginie Boone
US	rouge	Zinfandel	Jim Gordon
US	blanc	Sauvignon Blanc	Sean P. Sullivan
US	rouge	Cabernet Franc	Paul Gregutt
US	blanc	White Blend	NTN
US	rouge	Bordeaux-style Red Blend	Paul Gregutt
US	blanc	Chardonnay	Virginie Boone
US	rouge	Cabernet Sauvignon	Paul Gregutt
US	rouge	Syrah	Matt Kettmann
US	blanc	Chardonnay	NTN
US	blanc	Chardonnay	Sean P. Sullivan
US	rouge	Tempranillo	Sean P. Sullivan
US	rouge	Pinot Noir	Virginie Boone
US	blanc	Chardonnay	NTN
US	blanc	Chardonnay	Paul Gregutt
US	blanc	Chardonnay	Virginie Boone
US	blanc	Chardonnay	Paul Gregutt
US	rouge	Cabernet Sauvignon	Matt Kettmann
US	rouge	Rhône-style Red Blend	Matt Kettmann
US	rouge	Pinot Noir	Paul Gregutt
US	blanc	Viognier	Sean P. Sullivan
US	rouge	Cabernet Sauvignon	Sean P. Sullivan
US	rouge	Red Blend	Jim Gordon
US	rouge	Cabernet Sauvignon	NTN
US	rouge	Syrah	Paul Gregutt
US	rouge	Red Blend	Paul Gregutt
US	rouge	Red Blend	NTN
US	rouge	Red Blends	Jim Gordon
US	blanc	Roussanne	NTN
