0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
-0.659	5.26	-1.036	-0.3523	2.566	3.248	0.7905	2.396	2.621	0.8516	2.586	6.266	-0.708	1.525	-0.3223	1.612	-5.887	-4.164	1.634	2.752	-0.758	-1.44	-1.835	1.15	-2.365	2.713	0.6	-0.9185	-1.564	-1.934	3.973	1.268	2.676	0.894	1.8	-0.7036	2.17	-0.7373	-0.08105	4.117	0.4456	-2.594	-0.234	0.6895	-0.9316	-1.441	4.035	-0.7925	2.35	1.463	4.695	-5.58	0.2158	3.861	3.145	-1.674	2.24	-1.903	-0.385	-2.14	1.206	3.2	-1.358	-2.768	2.371	-1.239	-2.67	1.564	-2.95	5.945	-2.744	3.273	-0.804	-2.697	3.611	1.091	1.291	-3.154	-1.241	-0.1045	2.299	-1.303	3.54	-3.139	5.316	-2.105	-4.242	-2.006	1.625	3.525	3.021	1.437	-0.2834	0.2325	-2.295	1.01	4.008	-1.441	-2.63	2.912
-3.523	3.016	-2.283	-3.51	-0.263	0.1027	1.467	0.9575	0.3938	-2.656	2.17	4.848	0.976	0.11475	-2.021	1.384	-2.1	0.4539	0.6743	1.8955	0.2401	-1.633	-2.283	0.1116	0.589	1.609	1.691	-0.1455	-3.266	-3.625	0.5195	1.075	-0.7793	-1.434	2.348	-0.401	0.6377	-1.558	-1.611	2.994	-0.977	-1.562	0.958	-0.07495	-1.151	1.294	2.55	1.558	-0.2178	0.604	3.178	-2.012	-1.167	2.203	5.176	1.218	-0.1821	-0.4487	-0.299	-1.579	0.3286	4.066	-0.1182	-1.882	3.51	-0.811	-0.6997	2.176	-0.289	2.371	0.11304	3.645	1.134	-0.7197	5.125	-0.741	1.313	1.729	-0.443	1.808	1.3955	-1.47	5.59	-3.777	0.9736	-2.633	-4.465	0.603	2.383	2.275	4.51	1.122	1.462	-0.2715	-0.9927	0.006348	2.85	0.3474	-3.947	3.613
1.144	1.084	0.4663	-0.0575	-0.4172	1.36	0.08984	-2.809	4.918	3.19	4.004	-1.11	-1.746	2.133	-0.2698	1.609	-2.633	-0.919	0.8745	-1.214	-0.914	-1.855	-0.4675	2.307	-0.4294	-0.925	-2.33	-0.995	1.056	-2.28	1.232	5.145	-0.565	2.678	-0.2201	0.2206	1.4375	2.424	-1.958	4.715	1.663	-0.753	2.07	-1.956	1.092	-1.581	5.652	-0.2017	0.855	-1.026	1.422	-2.781	1.706	1.43	1.811	-0.98	-2.256	-4.16	1.618	0.949	-0.428	-0.9585	2.559	0.1821	2.207	-1.663	-0.5884	1.531	-2.79	6.062	-1.654	-1.489	2.863	-3.08	0.278	1.796	-2.08	-2.254	0.531	2.496	-1.284	-2.102	-0.2715	-2.24	2.56	-2.318	2.076	-0.4834	0.844	2.56	3.064	0.3618	4.312	-0.6333	1.387	3.1	-1.812	-1.022	-0.2238	1.202
-3.39	4.812	-2.135	-0.668	0.827	1.141	1.264	0.91	2.043	-0.1494	1.569	1.738	-1.862	0.564	-3.738	3.146	-5.35	0.2795	0.8027	1.762	0.73	0.1677	-1.221	-0.0259	-0.596	-0.1971	0.566	-2.195	-3.322	-4.12	-0.1902	2.514	-1.719	1.356	2.564	-0.9766	-0.8096	0.6343	-2.867	3.455	-0.9263	-0.4094	-0.381	-0.2072	-2.355	0.4468	1.562	0.847	-0.8403	0.599	0.8486	-1.46	0.259	2.941	2.754	3.59	-0.2245	-0.4038	-1.082	0.9614	-1.771	1.959	-0.551	-1.592	2.373	-1.881	2.48	1.265	-0.0485	5.84	1.689	-0.03073	4.465	0.2382	4.195	-0.1621	0.5024	0.4688	3.7	4.152	-0.5796	-1.826	6.66	-1.124	2.307	-2.9	-4.316	1.606	0.9644	3.205	5.688	-1.864	2.074	-0.661	-1.884	0.0534	4.01	0.169	-1.295	3.568
1.035	3.793	-2.436	-0.701	-1.841	4.047	1.005	-0.76	4.523	-0.547	-0.5186	1.501	-1.389	0.596	-3.59	4.24	-1.983	0.3176	1.136	2.729	4.3	-3.62	1.796	-0.2905	-0.9937	0.8613	-1.485	-0.9204	-3.44	-4.934	1.457	4.844	-2.59	-0.9756	1.446	0.11096	-0.832	0.565	-3.3	3.367	-0.4949	-1.68	0.614	-0.11346	0.2815	-0.8633	1.746	-1.65	0.738	0.817	2.008	-3.738	0.4702	0.4814	3.246	3.416	-0.06726	-3.164	0.193	-0.5195	-2.635	1.803	0.668	-4.047	4.156	-0.2047	-3.959	-1.614	-0.1846	5.727	-0.2474	-2.781	6.043	-0.978	4.574	0.4707	-0.92	-1.7	1.644	4.297	0.3784	-3.645	4.105	-3.777	2.326	-3.197	-1.934	0.785	2.258	1.24	5.93	-1.619	4.39	-1.737	-1.943	0.1375	1.7705	1.337	-1.726	2.1
-0.1919	2.873	-3.38	0.6084	0.5195	1.002	-0.2023	0.652	2.133	0.985	1.998	2.533	-3.035	0.1514	-1.365	1.264	-2.64	-3.217	0.2576	0.797	-0.1932	-2.719	0.3406	0.7583	-3.291	1.176	0.9736	-2.459	-1.319	-0.8813	2.754	0.3237	2.12	-1.8	2.053	-1.273	-0.5503	-0.3674	2.117	3.76	1.419	-2.566	-0.896	0.015305	-0.9556	1.327	1.386	0.2744	0.997	0.2391	2.68	-2.283	-0.7104	0.879	2.346	-0.602	1.107	-1.309	-0.569	-1.937	-1.316	2.686	1.874	-3.154	2.309	-0.1454	-2.975	1.284	-2.006	4.81	-3.004	0.5835	1.937	-1.904	3.436	0.3918	2.193	-1.906	-0.1566	2.69	1.234	-1.539	4.176	-3.994	2.662	-1.171	-3.01	-2.34	2.605	2.195	4.566	1.101	-1.661	-0.288	-1.279	0.4595	2.838	0.856	-2.89	2.7
1.714	6.47	-2.582	0.981	-0.1829	2.154	-0.04776	0.8604	4.82	-0.7886	1.847	0.936	0.669	2.418	-4.758	3.932	-3.734	0.5786	-0.1362	2.648	2.617	-0.953	0.1853	-0.494	1.63	0.0831	-1.188	-2.857	-2.55	-5.74	0.754	3.17	-1.025	-0.2698	0.363	-1.727	-1.206	1.862	-1.557	2.697	-1.178	-3.777	0.816	0.4082	-1.387	1.493	0.03044	0.695	-1.219	1.665	0.8774	-0.8516	0.372	3.172	3.31	1.671	-0.8325	-1.789	0.7295	0.26	-0.4363	2.074	-0.473	-2.586	3.54	-1.638	-2.355	0.928	-1.142	6.637	-0.283	-1.699	3.594	-0.511	3.875	1.829	-0.5176	0.7305	3.994	3.383	1.542	-2.576	5.836	-2.07	4.695	-3.107	-1.697	0.153	2.521	2.83	3.645	-2.81	6.11	-1.041	-1.701	1.956	3.87	0.09076	-1.476	1.109
-1.423	5.055	-1.487	-2.523	-1.562	2.49	1.172	0.865	6.25	-0.4297	1.023	2.998	-0.51	2.46	-3.445	4.984	-6.26	1.556	-3.123	1.145	4.1	1.3955	-2.5	1.594	0.9814	0.1409	-0.0818	-0.8677	0.646	-4.266	2.857	3.88	-3.338	-1.822	0.562	-2.723	1.128	0.6675	-1.831	4.062	1.97	-1.702	-1.512	0.2449	0.543	-0.0002842	1.949	-0.6157	0.683	-0.7817	1.718	-3.79	0.888	0.9307	3.547	2.14	-1.145	-2.555	-0.5176	0.7534	-3.32	1.122	0.6177	-2.996	3.896	-1.856	2.527	-1.414	-2.28	4.227	1.925	-1.712	5.477	-2.676	6.156	1.536	-1.575	1.13	2.88	0.497	3.309	1.816	2.1	-0.5654	2.857	-3.607	-1.184	-2.055	0.9326	3.402	4.23	-2.805	3.236	-3.652	-4.312	0.8325	2.807	-3.479	-3.916	-0.3662
-1.593	0.9146	-3.645	-0.3618	0.295	0.276	0.588	0.6123	-0.1787	-1.762	2.012	3.771	-1.892	-0.9395	1.233	1.285	-1.777	-4.12	0.864	0.675	-3.26	-1.206	-2.01	-0.0134	-1.747	-0.583	1.259	-0.93	-2.527	0.43	0.9487	-0.9976	3.734	0.9277	1.735	-0.001639	-0.9663	-1.409	0.4954	2.33	-0.6763	1.587	-1.364	-0.21	-0.3928	1.065	0.6035	1.427	1.567	-1.444	1.462	-2.502	-1.465	0.719	1.635	0.7925	0.7876	-1.157	-1.204	-1.551	-0.2751	3.521	0.8477	-2.506	-0.4707	0.7163	-0.895	4.87	1.068	2.186	-0.477	3.953	0.8833	-2.28	3.717	-3.084	0.8574	-1.499	-1.039	-0.2122	-0.9575	-1.482	2.156	-2.426	2.107	-1.43	-1.068	-1.633	-0.2343	0.8594	2.771	2.096	-3.05	-0.358	0.3784	-0.787	1.495	-1.19	-2.664	0.323
-1.331	4.535	-1.717	-1.857	-0.04922	1.8125	-0.000941	1.71	1.564	0.4329	0.03183	4.047	-0.9023	0.85	-1.865	3.445	-4.098	-0.524	-2.32	1.645	0.2157	-1.651	-1.82	-1.324	-0.84	1.849	1.462	-0.608	-1.497	-1.574	3.15	0.2057	0.6885	-2.373	1.394	-1.98	0.561	-0.8237	0.78	3.78	1.985	-2.812	0.4568	0.3777	-0.8086	1.489	1.999	1.111	0.5674	-1.118	3.67	-4.242	-1.136	1.741	1.669	0.2223	-0.3232	-0.6	-0.939	-0.862	-1.037	2.168	-0.006107	-2.852	0.1858	-1.451	0.5093	0.807	-0.2312	3.098	0.297	2.207	1.633	-2.184	5.652	0.05887	0.991	1.112	0.0639	-1.019	1.338	1.635	2.74	-2.127	0.772	-1.824	-4.25	-3.854	1.371	1.113	6.137	1.018	1.022	-0.9077	-2.252	1.523	3.787	-2.277	-3.9	1.134
0.4922	2.732	-0.2461	-1.72	-0.3484	0.3574	0.604	0.5327	5.246	1.38	1.69	0.1409	0.06232	0.675	-2.152	4.71	-4.875	1.975	-2.984	-2.32	5.15	0.2186	-0.03096	1.142	2.037	-0.84	-0.2637	-1.453	2.877	-3.178	3.0	5.88	-3.88	-1.241	-0.4834	-0.3562	2.121	1.521	-1.892	4.523	2.596	-3.037	0.4248	-0.8423	1.603	0.224	2.785	-1.192	1.146	-0.8564	3.143	-4.438	1.335	3.654	3.645	0.752	-2.496	-2.965	0.3186	0.7646	-2.943	0.4285	0.6763	-2.484	4.043	-1.844	1.594	-1.525	-2.572	4.477	1.38	-2.963	5.145	-3.018	5.51	1.357	-1.11	0.9624	0.832	1.753	3.248	0.0473	1.667	-1.584	3.262	-2.865	1.896	-1.313	0.553	2.547	4.844	-3.111	3.332	-2.646	-3.713	2.352	1.357	-3.25	-3.031	-2.043
-2.621	1.4	-2.797	-1.593	0.3672	4.484	0.7275	-2.547	3.422	-1.198	2.04	1.444	-1.741	1.02	-2.11	1.82	-4.508	-0.0773	0.04648	2.426	1.137	0.05627	-3.662	2.736	0.1926	-0.316	0.7075	0.587	-2.174	-2.574	2.096	4.55	-0.879	1.098	1.205	1.496	0.883	1.187	-1.354	2.92	0.1602	2.69	-1.714	-0.3777	-0.2025	-2.652	3.492	1.346	-0.2332	-0.0684	0.1009	-2.873	0.974	0.9907	2.33	1.661	0.238	-1.077	0.8906	1.474	-2.762	0.591	0.7754	-2.24	4.844	-0.07074	-0.535	0.2742	-0.463	3.562	0.609	-0.9355	3.172	0.1063	3.145	1.371	-0.6084	-0.3494	0.304	1.578	-0.9453	0.1766	2.973	-1.787	0.61	-3.205	-2.549	-0.649	2.3	3.24	0.8296	1.178	3.166	-1.101	-3.812	0.817	2.111	0.226	-3.486	4.383
4.484	-1.048	0.4688	2.355	-0.3716	3.084	1.241	-2.986	4.65	1.05	3.387	-3.627	-1.437	0.6597	-2.154	3.559	-1.09	1.174	0.988	-0.8467	0.64	-3.225	-1.836	1.844	2.143	-2.56	-3.238	-2.562	-0.02003	-2.234	1.435	6.992	-2.023	3.162	-1.831	1.891	-0.1244	3.395	-4.023	5.383	0.8726	0.3887	2.068	-1.768	2.93	-1.472	3.533	0.795	1.08	1.014	0.2369	-2.191	0.6206	0.4565	3.18	-2.219	-4.055	-4.062	2.123	-0.2352	-1.277	0.02304	0.9087	1.441	0.924	0.0182	-0.09894	0.397	-2.441	5.086	-0.7515	-1.489	6.324	-4.035	-0.4048	0.6963	-3.36	-1.743	1.292	2.764	-0.4438	-3.232	0.8823	-2.008	3.205	-2.092	1.392	-1.963	1.595	5.043	4.055	0.624	8.125	-1.381	2.287	5.023	-2.09	-1.324	2.387	-0.766
-3.691	3.832	-3.832	0.3376	0.3398	-0.3699	0.8306	1.035	2.695	-0.2312	2.896	2.217	0.7754	2.266	-3.734	2.69	-2.535	1.54	-0.535	1.821	0.7207	1.636	0.0853	0.459	0.1708	0.444	-0.2532	0.2563	-3.207	-2.63	-0.4978	1.512	-2.139	-0.0765	0.6636	-1.437	-1.075	-0.658	-2.693	0.2284	-0.919	-1.634	0.1724	-1.497	-2.104	3.527	1.622	0.721	-1.172	1.171	1.526	-0.03128	1.274	0.8325	0.757	2.76	-1.965	-0.749	-0.2283	-0.512	0.1699	2.135	-1.488	0.1519	2.566	-3.639	-1.06	0.7256	-0.1278	2.299	1.325	1.746	2.904	-0.3323	1.792	-0.7324	1.284	3.145	3.086	0.7285	1.879	-1.159	6.016	-1.859	0.5474	-3.002	-0.6016	-1.172	1.911	0.753	4.59	0.3843	0.3547	-0.07855	-1.054	-0.9727	2.248	2.867	-0.677	1.125
-0.337	-0.95	-0.6543	0.1675	-0.758	3.26	1.834	-2.855	0.2163	-0.014046	0.314	-0.01828	-0.891	-0.7905	0.0406	1.53	-2.371	1.109	0.768	1.064	-2.191	-0.829	-2.117	1.781	-0.775	-1.054	-0.8267	-0.944	-1.76	-1.484	1.984	2.96	-1.232	1.075	0.8467	1.394	0.4038	3.348	-0.9536	0.7305	-0.2915	2.31	0.4834	-0.911	0.0648	-1.256	2.22	0.559	3.191	0.7427	-0.732	-2.105	0.4832	1.341	2.29	0.9824	0.3503	-2.023	0.284	1.983	-2.37	0.7437	0.2803	-1.306	0.5444	0.4897	-0.286	1.372	-1.179	2.97	1.741	0.1731	3.643	-2.52	0.4417	0.0326	-1.698	-2.145	0.1248	1.053	-0.7	-0.529	0.991	-2.512	0.1141	-2.668	0.501	-1.503	-0.6616	1.308	1.302	0.8853	4.676	-0.547	-0.2374	1.573	-0.2705	-0.7627	-0.504	2.523
2.098	-0.8364	0.2401	1.371	-1.381	-0.1194	2.932	1.413	0.3496	1.151	2.873	-1.134	-0.1697	-1.01	-2.1	0.558	0.327	-0.2476	-0.04575	-0.574	-0.832	0.4182	1.731	1.135	-1.487	-0.6855	0.927	0.551	-2.916	0.2223	1.886	1.107	2.014	-1.616	0.4675	-0.2566	1.826	-0.4326	-3.121	1.964	-0.773	0.169	-1.392	-2.307	-1.599	0.679	3.7	1.161	2.545	1.251	1.275	-1.017	0.5215	-1.727	2.66	1.578	-1.277	0.2345	-0.496	1.45	-0.2485	3.96	3.94	-0.587	3.545	-3.014	-1.856	2.428	0.2502	3.105	0.698	0.1857	1.775	1.1455	0.725	0.545	2.982	-1.509	0.541	1.921	-1.679	-1.311	-0.2595	-2.824	2.787	-1.824	-0.3286	0.6577	0.8174	1.045	0.902	0.9565	-2.062	0.7417	0.7197	1.703	-0.1276	2.2	-0.9175	-0.0474
-2.262	-1.494	0.5107	-0.6484	0.3289	0.2512	0.67	-1.561	-0.577	1.999	1.621	-1.23	-0.4373	0.1625	0.5225	-0.4082	0.524	1.664	-1.12	-1.874	-1.996	1.027	1.459	1.3955	-4.023	-0.6724	0.2686	0.3108	-0.5645	0.608	1.609	-1.082	1.7295	-1.567	-0.336	0.05057	3.098	-1.077	-0.777	-0.2338	0.0954	1.179	0.5557	0.9497	-0.7944	0.678	0.632	2.11	1.455	-0.8755	1.727	0.556	1.63	-1.709	-0.9253	2.094	-0.699	0.3223	-0.6963	-0.3955	-0.86	0.5806	2.303	2.227	-0.7563	-0.5264	0.644	0.866	0.02016	-0.3845	-0.7544	-0.2864	-1.705	0.119	-2.652	-0.7397	-0.7065	-1.208	0.4863	0.729	0.527	0.9155	-1.056	-1.593	-0.1571	-0.606	0.664	-0.1945	-1.818	-1.158	-1.142	0.09283	-2.617	0.3916	-2.006	0.3367	1.668	-0.82	-0.3345	-0.1261
